ID1,HHID,NRO_ORDEN_ID,QH30M,QH31M,QH32M_M,QH32M_Y,QH33M
2025,      503600901,1,1,46,12,2021, 
2025,      503701601,1,2,37,10,2023,4
2025,      503706801,1,1,42,11,2021, 
2025,      503800901,1,1,80,8,2022, 
2025,      503912101,1,2,70,9,2025, 
2025,      504001001,1,1,58,2,2021, 
2025,      504005101,1,1,47,12,2024, 
2025,      504303801,1,1,86,3,2023, 
2025,      504505701,1,2,86,6,2023, 
2025,      504703301,1,1,65,4,2025, 
2025,      504803301,1,1,65,2,2025, 
2025,      505002501,1,2,89,6,2025, 
2025,      505205101,1,1,85,6,2021, 
2025,      505205101,2,2,80,5,2023, 
2025,      505205701,1,2,90,6,2020, 
2025,      505304601,1,1,75,7,2025, 
2025,      505402301,1,1,60,1,2020, 
2025,      505402501,1,2,88,8,2025, 
2025,      505412401,1,2,88,2,2020, 
2025,      505501701,1,1,73,2,2021, 
2025,      505504601,1,1,80,8,2022, 
2025,      505603701,1,2,93,11,2024, 
2025,      505606201,1,2,18,1,2023,4
2025,      505807401,1,1,83,4,2021, 
2025,      505807401,2,2,75,7,2022, 
2025,      505907901,1,2,74,10,2024, 
2025,      506000601,1,1,76,4,2021, 
2025,      506007101,1,1,65,6,2022, 
2025,      506007101,2,2,85,8,2022, 
2025,      506205601,1,2,56,7,2025, 
2025,      506406401,1,2,44,12,2020,4
2025,      506605501,1,1,79,6,2025, 
2025,      507001301,1,2,23,3,2021,4
2025,      507203401,1,2,93,6,2021, 
2025,      507203401,2,2,101,7,2021, 
2025,      507203601,1,1,71,9,2025, 
2025,      507403001,1,2,9,11,2023, 
2025,      507506001,1,1,18,6,2020, 
2025,      507601101,1,1,84,5,2025, 
2025,      507702801,1,2,90,2,2020, 
2025,      508000301,1,2,103,2,2023, 
2025,      508001201,1,1,57,6,2020, 
2025,      508001201,2,2,70,6,2020, 
2025,      508005601,1,1,64,10,2020, 
2025,      508206401,1,2,69,10,2022, 
2025,      508312001,1,1,66,6,2020, 
2025,      508413601,1,1,78,3,2025, 
2025,      508606901,1,2,82,6,2024, 
2025,      508609301,1,1,70,4,2021, 
2025,      508612001,1,2,86,9,2024, 
2025,      508800301,1,2,64,2,2023, 
2025,      508800301,2,2,44,11,2024,4
2025,      509013301,1,1,78,1,2022, 
2025,      509104801,1,2,67,12,2024, 
2025,      509300101,1,2,61,2,2023, 
2025,      509304901,1,2,95,9,2025, 
2025,      509305101,1,2,92,5,2025, 
2025,      509502901,1,1,67,5,2020, 
2025,      509606501,1,1,77,6,2021, 
2025,      510010201,1,2,65,4,2020, 
2025,      510013401,1,2,88,12,2024, 
2025,      510200501,1,2,70,7,2020, 
2025,      510309501,1,1,107,7,2020, 
2025,      510502301,1,2,19,9,2024,4
2025,      510505701,1,1,74,2,2022, 
2025,      510505701,2,2,44,1,2023,4
2025,      510604501,1,1,34,5,2022, 
2025,      510611801,1,1,39,3,2024, 
2025,      510611801,2,2,92,3,2024, 
2025,      511100601,1,1,59,7,2021, 
2025,      511101001,1,1,49,11,2020, 
2025,      511202601,1,1,81,2,2024, 
2025,      511205401,1,1,59,5,2021, 
2025,      511407701,1,2,95,9,2023, 
2025,      511500701,1,1,40,10,2024, 
2025,      511507601,1,2,84,5,2023, 
2025,      511507601,2,2,42,9,2025,4
2025,      511507601,3,1,88,10,2025, 
2025,      511507701,1,1,78,9,2024, 
2025,      511511001,1,1,99,10,2025, 
2025,      511511101,1,1,87,12,2025, 
2025,      511716601,1,2,73,12,2021, 
2025,      511905201,1,2,93,2,2021, 
2025,      512002901,1,2,95,9,2025, 
2025,      512004501,1,2,64,8,2020, 
2025,      512009501,1,2,73,2,2022, 
2025,      512106701,1,1,71,11,2020, 
2025,      512316701,1,2,65,3,2021, 
2025,      512407601,1,2,84,6,2024, 
2025,      512609501,1,1,37,8,2025, 
2025,      512711302,1,2,74,11,2024, 
2025,      512808201,1,2,8,1,2020, 
2025,      513104901,1,1,65,8,2020, 
2025,      513206301,1,2,44,7,2023,4
2025,      513311501,1,1,55,1,2024, 
2025,      513311501,2,1,25,1,2024, 
2025,      513311501,3,1,31,1,2024, 
2025,      513316001,1,2,0,5,2021, 
2025,      513600101,1,2,91,12,2023, 
2025,      513606301,1,2,59,2,2025, 
2025,      513709401,1,1,71,5,2021, 
2025,      513709401,2,2,30,5,2021,4
2025,      513809601,1,2,76,4,2020, 
2025,      513809801,1,2,79,11,2020, 
2025,      514114501,1,2,58,1,2022, 
