ID1,HHID,QHCLUSTER,QHNUMBER,QHHOME,QH91,QH93,QH95,QH96,QH96A,QH96M,QH96AC,QH97D,QH97M,QH97A,QH99,QH101,QH103,QH106,QHVIOLEN,QH100B
2025,      436012001,4360,120,1, ,2,1,2,7,4,2, , , , ,1,2,2,2,2
2025,      436012101,4360,121,1,2,2,2, , , , , , , , ,2,2,2,2,1
2025,      436103401,4361,34,1, ,2,2, , , , , , , , ,2,2, ,2,2
2025,      436103601,4361,36,1,2,2,1,2,2,1,2, , , ,1,1,2,2,4,1
2025,      436103701,4361,37,1, ,2,2, , , , , , , , ,2,2, ,2,2
2025,      436103801,4361,38,1, ,2,1,2,1,3,2, , , ,1,1,2,2,2,1
2025,      436106101,4361,61,1, ,2,2, , , , , , , ,1,2,2, ,0, 
2025,      436106201,4361,62,1,2,2,1,2,12,2,2, , , , ,2,2, ,0, 
2025,      436106301,4361,63,1,2,2,1,2,10,2,2, , , , ,2,2, ,2,2
2025,      436106401,4361,64,1, ,2,2, , , , , , , , ,2,2, ,0, 
2025,      436106501,4361,65,1, ,2,1,3,1,2,2, , , , ,1,2,2,3,1
2025,      436113401,4361,134,1,2,2,2, , , , , , , , ,1,2,2,1,2
2025,      436113501,4361,135,1, ,2,2, , , , , , , , ,1,2,2,2,2
2025,      436113601,4361,136,1, ,2,2, , , , , , , , ,2,2, ,3,2
2025,      436113701,4361,137,1,2,2,2, , , , , , , , ,1,2,2,2,2
2025,      436113801,4361,138,1,2,2,2, , , , , , , , ,2,2,2,2,1
2025,      436201101,4362,11,1,2,2,1,2,0,4,1,30,1,2025, ,1,2,2,2,1
2025,      436201301,4362,13,1, ,2,1,2,1,5,2, , , , ,1,2,2,2,1
2025,      436201501,4362,15,1, ,2,1,4,12,0,2, , , ,1,2,2, ,4,2
2025,      436201601,4362,16,1, ,2,2, , , , , , , ,1,2,2, ,0, 
2025,      436201701,4362,17,1, ,2,2, , , , , , , , ,2,2, ,0, 
2025,      436203801,4362,38,1, ,2,2, , , , , , , , ,1,2,2,2,2
2025,      436203901,4362,39,1, ,2,2, , , , , , , , ,2,2, ,2,2
2025,      436204001,4362,40,1,2,2,1,2,3,3,2, , , , ,1,2,2,2,2
2025,      436204101,4362,41,1,2,2,1,5,1,0,2, , , ,2,1,2,2,5,1
2025,      436204201,4362,42,1, ,2,2, , , , , , , , ,2,2, ,0, 
2025,      436209801,4362,98,1, ,2,2, , , , , , , , ,2,2, ,0, 
2025,      436209901,4362,99,1,2,2,2, , , , , , , ,1,2,2, ,0, 
2025,      436210001,4362,100,1,2,2,2, , , , , , , , ,1,2, ,2,2
2025,      436210101,4362,101,1, ,2,2, , , , , , , ,2,2,2, ,0, 
2025,      436210201,4362,102,1, ,2,2, , , , , , , , ,2,2,2,2,1
2025,      436300401,4363,4,1, ,2,1,2,13,11,2, , , , ,2,2, ,2,2
2025,      436300501,4363,5,1, ,2,2, , , , , , , , ,2,2, ,0, 
2025,      436301201,4363,12,1, ,2,2, , , , , , , ,2,2,2, ,0, 
2025,      436301601,4363,16,1, ,2,2, , , , , , , ,2,2,2, ,0, 
2025,      436301701,4363,17,1, ,2,2, , , , , , , ,2,2,2, ,0, 
2025,      436303001,4363,30,1, ,2,2, , , , , , , ,2,1,2, ,2,2
2025,      436303101,4363,31,1, ,2,2, , , , , , , ,2,2,2, ,0, 
2025,      436304001,4363,40,1,2,2,2, , , , , , , , ,2,2, ,3,1
2025,      436305601,4363,56,1,2,2,2, , , , , , , ,2,1,2,2,4,2
2025,      436307001,4363,70,1, ,2,1,2,13,5,2, , , , ,1,2, ,2,2
2025,      436307401,4363,74,1, ,2,1,2,1,2,2, , , , ,1,2,2,2,1
2025,      436307601,4363,76,1, ,2,2, , , , , , , , ,2,2, ,1,2
2025,      436307901,4363,79,1, ,2,1,1,1,0,2, , , , ,1,2,2,1,1
2025,      436400501,4364,5,1, ,2,2, , , , , , , , ,2,2,2,2,2
2025,      436401001,4364,10,1, ,2,2, , , , , , , ,2,2,2, ,0, 
2025,      436407101,4364,71,1, ,2,2, , , , , , , ,2,2,2, ,2,2
2025,      436409101,4364,91,1, ,2,2, , , , , , , ,2,2,2,1,3,2
2025,      436410501,4364,105,1, ,2,2, , , , , , , , ,2,2,2,3,2
2025,      436413101,4364,131,1, ,2,2, , , , , , , ,2,2,2, ,0, 
2025,      436413201,4364,132,1, ,2,2, , , , , , , ,2,2,2, ,0, 
2025,      436414101,4364,141,1,2,2,2, , , , , , , ,2,2,2, ,2,2
2025,      436414501,4364,145,1,2,2,2, , , , , , , , ,2,2, ,2,2
2025,      436502201,4365,22,1,2,2,2, , , , , , , , ,2,2,2,6,2
2025,      436502301,4365,23,1,2,2,1,6,1,11,2, , , ,2,1,2,1,2,1
2025,      436503601,4365,36,1, ,2,2, , , , , , , , ,2,2, ,1,2
2025,      436507401,4365,74,1, ,2,2, , , , , , , , ,2,2, ,2,2
2025,      436507701,4365,77,1, ,2,2, , , , , , , ,2,2,2,2,2,2
2025,      436508401,4365,84,1, ,2,2, , , , , , , , ,2,2,2,2,2
2025,      436509001,4365,90,1,2,2,2, , , , , , , , ,2,2, ,3,2
2025,      436509501,4365,95,1,2,2,2, , , , , , , , ,1,2, ,2,2
2025,      436511101,4365,111,1, ,2,1,1,0,7,2, , , , ,1,2,2,1,2
2025,      436511801,4365,118,1,2,2,1,3,2,8,2, , , , ,2,2,2,3,2
2025,      436602501,4366,25,1,2,2,2, , , , , , , ,2,2,2,2,2,2
2025,      436603401,4366,34,1,2,2,2, , , , , , , , ,2,2, ,2,2
2025,      436603601,4366,36,1, ,2,2, , , , , , , , ,2,2, ,0, 
2025,      436604301,4366,43,1, ,2,2, , , , , , , , ,2,2,2,1,2
2025,      436605001,4366,50,1,2,2,2, , , , , , , ,2,2,2, ,6,2
2025,      436605301,4366,53,1, ,2,2, , , , , , , , ,2,2,2,2,2
2025,      436612001,4366,120,1,2,2,2, , , , , , , , ,2,2, ,0, 
2025,      436613301,4366,133,1, ,2,2, , , , , , , ,2,2,2,2,6,2
2025,      436614401,4366,144,1,2,2,2, , , , , , , ,2,2,2, ,3,2
2025,      436700701,4367,7,1, ,2,2, , , , , , , , ,2,2, ,0, 
2025,      436702401,4367,24,1, ,2,2, , , , , , , ,2,2,2,2,2,2
2025,      436705701,4367,57,1,2,2,2, , , , , , , ,2,2,2,2,5,2
2025,      436705801,4367,58,1,2,2,2, , , , , , , ,2,2,2, ,2,2
2025,      436706901,4367,69,1, ,2,2, , , , , , , , ,2,2,2,2,2
2025,      436708601,4367,86,1, ,2,2, , , , , , , , ,2,2, ,1,2
2025,      436709601,4367,96,1, ,2,2, , , , , , , ,2,2,2, ,2,2
2025,      436710501,4367,105,1,2,2,2, , , , , , , , ,2,2, ,3,2
2025,      436711401,4367,114,1, ,2,2, , , , , , , , ,2,2,2,1,2
2025,      436802801,4368,28,1,2,2,2, , , , , , , , ,2,2,2,1,2
2025,      436804801,4368,48,1,2,2,2, , , , , , , , ,2,2, ,1,2
2025,      436805601,4368,56,1, ,2,2, , , , , , , , ,2,2, ,0, 
2025,      436806301,4368,63,1,2,2,2, , , , , , , , ,2,2, ,2,2
2025,      436809101,4368,91,1, ,2,2, , , , , , , , ,2,2,2,2,2
2025,      436809901,4368,99,1, ,2,2, , , , , , , , ,2,2, ,5,2
2025,      436811101,4368,111,1, ,2,2, , , , , , , , ,2,2,1,5,2
2025,      436811201,4368,112,1,2,2,2, , , , , , , , ,2,2,2,1,2
2025,      436812701,4368,127,1,2,2,2, , , , , , , , ,2,2, ,2,2
2025,      436813701,4368,137,1, ,2,2, , , , , , , , ,2,2,2,2,2
2025,      436900401,4369,4,1, ,2,2, , , , , , , , ,1,2,2,2,1
2025,      436902101,4369,21,1, ,2,2, , , , , , , , ,2,2, ,2,2
2025,      436903001,4369,30,1, ,2,2, , , , , , , ,1,2,2, ,0, 
2025,      436903601,4369,36,1, ,2,2, , , , , , , , ,1,2, ,2,2
2025,      436905001,4369,50,1, ,2,2, , , , , , , , ,2,2,1,1,2
2025,      436905002,4369,50,2, ,2,2, , , , , , , , ,2,2, ,0, 
2025,      436907701,4369,77,1,2,2,2, , , , , , , , ,1,2,2,2,2
2025,      436907901,4369,79,1,2,2,2, , , , , , , , ,2,2, ,2,2
2025,      436911401,4369,114,1, ,2,2, , , , , , , , ,2,2, ,1,2
2025,      436913401,4369,134,1, ,2,1,2,2,4,2, , , , ,1,2,2,2,2
2025,      437000101,4370,1,1,2,2,2, , , , , , , , ,2,2, ,0, 
2025,      437007601,4370,76,1, ,2,2, , , , , , , , ,2,2,2,2,2
2025,      437011901,4370,119,1, ,2,2, , , , , , , ,2,2,2, ,0, 
2025,      437012201,4370,122,1,2,2,2, , , , , , , , ,2,2,2,6,2
2025,      437012501,4370,125,1, ,2,2, , , , , , , , ,2,2, ,1,2
2025,      437012601,4370,126,1, ,2,1,2,1,2,2, , , , ,1,2,2,2,2
2025,      437013401,4370,134,1,2,2,2, , , , , , , , ,2,2, ,2,2
2025,      437017001,4370,170,1, ,2,2, , , , , , , , ,2,2, ,0, 
2025,      437019601,4370,196,1, ,2,2, , , , , , , ,2,2,2, ,0, 
2025,      437101201,4371,12,1,2,2,2, , , , , , , , ,2,2,2,2,2
2025,      437101901,4371,19,1,2,2,2, , , , , , , , ,2,2,2,5,2
