ID1,HHID,HVIDX,QHCLUSTER,QHNUMBER,QHHOME,PS100C1_A,PS100C1_M,PS100C_1S,PS8
2025,      436307401,4,4363,74,1,1,0,2,1
2025,      436307901,3,4363,79,1,0,9,2,1
2025,      436502301,7,4365,23,1,1,4,2,1
2025,      436900401,4,4369,4,1,0,6,2,1
2025,      437606501,5,4376,65,1,2,4,2,1
2025,      437803601,6,4378,36,1,1,0,2,1
2025,      437815001,6,4378,150,1,0,6,2,1
2025,      437815201,5,4378,152,1,0,2,2,1
2025,      438000101,4,4380,1,1,1,3,2,1
2025,      438003601,6,4380,36,1,0,6,2,1
2025,      438003701,5,4380,37,1,1,0,2,1
2025,      438004301,7,4380,43,1,0,2,2,1
2025,      438108201,7,4381,82,1,0,8,2,1
2025,      438200201,3,4382,2,1,1,2,2,1
2025,      438200701,4,4382,7,1,0,7,2,1
2025,      438207101,2,4382,71,1,0,2,2,1
2025,      438406901,3,4384,69,1,0,2,2,1
2025,      438604901,3,4386,49,1,0,5,2,1
2025,      438606201,4,4386,62,1,0,1,2,1
2025,      438610501,3,4386,105,1,0,7,2,1
2025,      438703701,4,4387,37,1,2,0,2,1
2025,      438804701,4,4388,47,1,1,3,2,1
2025,      438808701,4,4388,87,1,0,5,2,1
2025,      438901001,5,4389,10,1,0,2,2,1
2025,      438902101,3,4389,21,1,2,7,2,1
2025,      439004101,4,4390,41,1,0,1,2,1
2025,      439103201,4,4391,32,1,1,5,2,1
2025,      439103501,1,4391,35,1,1,5,2,1
2025,      439103601,3,4391,36,1,1,0,2,1
2025,      439108301,4,4391,83,1,1,0,2,1
2025,      439109201,2,4391,92,1,1,4,2,1
2025,      439201301,4,4392,13,1,0,8,2,1
2025,      439209701,3,4392,97,1,0,6,2,1
2025,      439306001,3,4393,60,1,0,6,2,1
2025,      439312901,4,4393,129,1,1,0,2,1
2025,      439313001,3,4393,130,1,1,5,2,1
2025,      439400401,3,4394,4,1,0,5,2,1
