ID1,NRO_ORDEN_ID,QH30M,QH31M,QH32M_M,QH32M_Y,QH33M,HHID
2023,1,2,87,8,2022, ,      204104001
2023,1,2,14,12,2018,4,      204908301
2023,1,2,85,3,2023, ,      206702001
2023,1,2,50,10,2021, ,      206707801
2023,1,2,71,9,2018, ,      207207301
2023,2,1,27,5,2022, ,      207207301
2023,1,2,18,11,2019,4,      207302501
2023,1,2,60,12,2020, ,      208502101
2023,1,1,87,3,2021, ,      208506101
2023,1,2,86,6,2023, ,      208506501
2023,1,2,90,3,2023, ,      208804101
2023,1,2,29,9,2018,4,      209510201
2023,1,1,70,5,2018, ,      210014501
2023,1,2,70,9,2023, ,      210500401
2023,1,1,82,6,2023, ,      210502901
2023,1,2,85,11,2020, ,      210908101
2023,2,1,92,2,2022, ,      210908101
2023,1,1,77,5,2023, ,      211104101
2023,1,1,88,10,2022, ,      211104201
2023,1,1,50,7,2021, ,      211106201
2023,1,1,87,5,2023, ,      211106601
2023,1,2,80,2,2021, ,      211603001
2023,1,1,85,5,2019, ,      211809201
2023,1,1,60,5,2021, ,      211905701
2023,1,1,68,12,2022, ,      211908601
2023,1,2,81,5,2023, ,      212503701
2023,1,2,81,7,2023, ,      213306101
2023,1,2,89,3,2021, ,      213802001
2023,1,1,92,11,2023, ,      213802501
2023,1,2,53,4,2019, ,      214000101
2023,1,1,79,10,2019, ,      214301801
2023,2,2,80,5,2020, ,      214301801
2023,1,1,65,10,2019, ,      214304201
2023,1,1,53,2,2021, ,      214704801
2023,1,2,69,2,2022, ,      214708701
2023,1,1,61,2,2021, ,      215400101
2023,1,2,43,1,2020,4,      216400401
2023,1,1,98,5,2022, ,      217600701
2023,1,1,84,4,2019, ,      217602701
